time_stamp	animal	time1	time2	tampl	tdur	tpos	tbeg	tsize
20170527_114826	00917	120.00	135.00	NA	NA	NA	NA	15.000
20170527_114826	00917	135.00	150.00	29.900	0.079	146.540	146.522	15.000
20170527_114826	00917	135.00	150.00	52.800	8.279	142.637	137.550	15.000
20170527_114826	00917	30.00	45.00	46.400	9.638	34.433	32.107	14.430
20170527_114826	00917	45.00	60.00	180.000	2.804	48.410	47.993	15.000
20170527_114826	00917	45.00	60.00	180.000	7.028	59.425	55.647	15.000
20170527_114826	00917	45.00	60.00	27.100	0.073	45.433	45.433	15.000
20170527_114826	00917	45.00	60.00	31.200	0.083	54.770	54.748	15.000
20170527_114826	00917	45.00	60.00	46.700	1.333	53.607	52.602	15.000
20170527_114826	00917	75.00	90.00	32.300	0.072	85.618	85.599	15.000
20170527_114826	00917	75.00	90.00	37.700	0.117	78.633	78.601	15.000
20170527_114826	00917	75.00	90.00	37.800	0.145	77.335	77.295	15.000
20170527_114826	00917	75.00	90.00	40.800	0.655	87.082	87.021	15.000
20170527_114826	00917	75.00	90.00	58.900	3.840	82.060	80.833	15.000
20170527_114826	00917	90.00	105.00	180.000	2.498	93.210	92.716	15.000
20170527_114826	00917	90.00	105.00	40.800	0.835	97.480	97.440	15.000
20170527_114826	00917	90.00	105.00	50.600	0.111	96.747	96.699	15.000
20170527_114826	01159	120.00	135.00	27.800	0.059	123.833	123.826	15.000
20170527_114826	01159	120.00	135.00	33.200	0.501	125.754	125.651	15.000
20170527_114826	01159	120.00	135.00	42.000	1.719	127.708	126.870	15.000
20170527_114826	01159	135.00	150.00	29.000	0.606	144.402	144.261	15.000
20170527_114826	01159	135.00	150.00	29.100	0.049	146.939	146.927	15.000
20170527_114826	01159	135.00	150.00	30.700	0.109	143.036	142.998	15.000
20170527_114826	01159	135.00	150.00	30.700	0.326	147.746	147.729	15.000
20170527_114826	01159	135.00	150.00	32.600	0.102	136.138	136.106	15.000
20170527_114826	01159	135.00	150.00	32.600	1.050	140.244	140.197	15.000
20170527_114826	01159	135.00	150.00	34.500	0.593	148.930	148.865	15.000
20170527_114826	01159	135.00	150.00	38.100	0.795	138.139	138.061	15.000
20170527_114826	01159	135.00	150.00	53.300	0.121	146.152	146.111	15.000
20170527_114826	01159	30.00	45.00	30.200	0.055	39.003	38.991	11.981
20170527_114826	01159	30.00	45.00	58.300	2.939	42.120	41.161	11.981
20170527_114826	01159	45.00	60.00	180.000	11.336	55.027	52.113	15.000
20170527_114826	01159	45.00	60.00	180.000	5.312	48.573	45.584	15.000
20170527_114826	01159	75.00	90.00	29.100	0.624	85.216	84.934	15.000
20170527_114826	01159	75.00	90.00	46.300	1.572	79.843	79.568	15.000
20170527_114826	01159	90.00	105.00	180.000	4.016	95.868	93.668	15.000
20170527_114826	01159	90.00	105.00	29.600	0.385	103.195	102.950	15.000
20170527_114826	01159	90.00	105.00	32.100	0.465	92.473	92.385	15.000
20170527_114826	01159	90.00	105.00	36.300	0.142	91.023	90.935	15.000
20170527_114826	01373	120.00	135.00	35.400	0.102	129.549	129.506	15.000
20170527_114826	01373	120.00	135.00	36.000	1.865	120.921	120.838	15.000
20170527_114826	01373	120.00	135.00	41.600	0.796	126.085	125.883	15.000
20170527_114826	01373	135.00	150.00	36.500	1.693	138.866	137.955	15.000
20170527_114826	01373	135.00	150.00	41.400	0.988	137.256	136.338	15.000
20170527_114826	01373	135.00	150.00	55.000	5.278	141.597	140.325	15.000
20170527_114826	01373	30.00	45.00	39.800	0.842	44.549	43.772	6.817
20170527_114826	01373	45.00	60.00	28.400	0.043	50.259	50.253	15.000
20170527_114826	01373	45.00	60.00	29.200	0.397	46.400	46.380	15.000
20170527_114826	01373	45.00	60.00	44.100	1.046	47.740	47.693	15.000
20170527_114826	01373	45.00	60.00	66.700	8.099	59.597	52.074	15.000
20170527_114826	01373	75.00	90.00	NA	NA	NA	NA	15.000
20170527_114826	01373	90.00	105.00	27.100	0.307	96.429	96.423	15.000
20170527_114826	01373	90.00	105.00	29.600	0.054	93.123	93.112	15.000
20170527_114826	01373	90.00	105.00	32.100	1.357	101.731	101.584	15.000
20170527_114826	01373	90.00	105.00	32.400	0.281	93.940	93.908	15.000
20170527_114826	01373	90.00	105.00	35.300	0.096	100.121	100.090	15.000
20170527_114826	01373	90.00	105.00	57.000	3.472	90.289	88.084	15.000
20170527_114826	01442	120.00	135.00	NA	NA	NA	NA	15.000
20170527_114826	01442	135.00	150.00	180.000	7.707	140.487	135.754	15.000
20170527_114826	01442	135.00	150.00	42.400	2.966	147.344	145.781	15.000
